title	views	naver_share	revenue	rpm
국민의힘 탈당방법 가입방법 바로가기 - 더픽	1962.0	0.7655453618756372	219.82589800000002	112.04174209989807
나는솔로 31기 인스타 모음 - 더픽	36058.0	0.8634976981529757	98.310248	2.726447612180376
예별손해보험 보험금청구 고객센터 바로가기 - 더픽	873.0	0.6174112256586484	67.217747	76.99627376861399
삼성에어컨 고객센터 바로가기 - 더픽	889.0	0.8931383577052868	52.73630699999999	59.320930258717645
레버리지 ETF 교육이수 등록 방법: 주문 불가 5분 만에 해결하기 - 더픽	918.0	0.8845315904139434	45.77102300000001	49.85950217864925
케이패스 고객센터 바로가기 - 더픽	1905.0	0.8509186351706036	38.092696	19.996165879265092
실업급여(구직급여) 신청방법 총정리 — 대상·조건부터 고용24 신청까지 | 생활정보 나침반	2194.0	0.841841385597083	36.224154000000006	16.510553327256158
자리톡 고객센터 바로가기 - 더픽	628.0	0.9506369426751592	34.894335	55.56422770700637
인삼다당체 가루 추천 바로가기 - 더픽	1064.0	0.7481203007518797	31.187966000000003	29.311998120300753
비대면 주식 계좌 개설 방법 & 신규 가입 혜택 정리 | 주카 비즈	498.0	0.6445783132530121	27.238774	54.696333333333335
고속도로 통행료 미납 정보 총정리 — 하이패스 미납요금 조회·납부 방법 | 주카 비즈	783.0	0.9936143039591315	25.183479000000002	32.162808429118776
클라쎄 고객센터 바로가기 - 더픽	564.0	0.8404255319148937	23.430629000000003	41.54366843971632
함양 대봉산 모노레일 정보 총정리 — 예약·요금·시간표·주차·반려동반·맛집 | 생활정보 나침반	605.0	0.9636363636363636	20.732549	34.268676033057844
해랑열차 예약 방법·코스·가격·취소규정 총정리 | 생활정보 나침반	745.0	0.9758389261744966	18.164814	24.38230067114094
AIA 생명 보험금 청구 홈페이지 바로가기 - 더픽	244.0	0.5983606557377049	17.502847000000003	71.73297950819673
기초연금 모의계산 및 신청 방법 총정리 — 대상·지급액·국민연금과 차이 | 생활정보 나침반	752.0	0.949468085106383	17.141370000000002	22.794375000000002
예다함 고객센터 바로가기 - 더픽	200.0	0.94	15.320390000000002	76.60195
대만 복권 당첨 확인 바로가기 - 더픽	763.0	0.9515072083879423	14.818879	19.42185976408912
자동차세납부·자동차세환급·자동차세납부조회 한 번에 정리 (위택스 기준) | 생활정보 나침반	922.0	0.8828633405639913	14.075015000000002	15.265742950108462
노란우산 고객센터 바로가기 - 더픽	174.0	0.9195402298850575	13.806875	79.34985632183908
투쿨포스쿨 아울렛 매장 세일 바로가기 - 더픽	1286.0	0.5326594090202177	12.242832000000002	9.520087091757388
2026 고유가 피해지원금 잔액조회 잔액부족 확인하기 - 더픽	469.0	0.7398720682302772	12.189469	25.990339019189765
